Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Mauritius,21386,455,19543.0,1388.0,16777,357,358675.0,281370.0,1274744
Mayotte,20960,185,2964.0,17811.0,74306,656,176919.0,627203.0,282076
Mexico,3884566,293950,3242947.0,347669.0,29689,2247,11838624.0,90481.0,130841601
Moldova,363110,9090,347118.0,6902.0,90309,2261,2196983.0,546413.0,4020739
Monaco,3738,36,3560.0,142.0,94313,908,54960.0,1386688.0,39634
Mongolia,381528,2003,313256.0,66269.0,113799,597,4030048.0,1202053.0,3352637
Montenegro,157085,2300,152186.0,2599.0,250064,3661,904728.0,1440241.0,628178
Morocco,949785,14775,932133.0,2877.0,25309,394,10427240.0,277860.0,37526965
Mozambique,151528,1941,149492.0,95.0,4664,60,976445.0,30057.0,32486827
Myanmar,521931,19097,496660.0,6174.0,9503,348,5562001.0,101267.0,54923970
Namibia,129180,3573,125483.0,124.0,49576,1371,786776.0,301945.0,2605692
Nepal,821121,11524,802653.0,6944.0,27486,386,4618231.0,154587.0,29874656
Netherlands,2621022,19349,2104531.0,497142.0,152488,1126,19205114.0,1117334.0,17188334
New Caledonia,12139,276,11551.0,312.0,41950,954,42756.0,147758.0,289366
New Zealand,11576,44,5654.0,5878.0,2314,9,4909302.0,981448.0,5002100
Nicaragua,17152,209,4225.0,12718.0,2546,31,,,6735600
Niger,6989,258,6581.0,150.0,275,10,187832.0,7384.0,25437623
Nigeria,214113,2976,207292.0,3845.0,1004,14,3479682.0,16311.0,213327135
North Macedonia,215125,7569,199460.0,8096.0,103264,3633,1468996.0,705145.0,2083253
Norway,263798,1050,88952.0,173796.0,48130,192,8576127.0,1564704.0,5480991
Oman,304519,4113,299951.0,455.0,57572,778,25000000.0,4726508.0,5289317
Pakistan,1284840,28728,1242236.0,13876.0,5662,127,21985775.0,96883.0,226930233
Palestine,429697,4528,422442.0,2727.0,81563,859,2720854.0,516460.0,5268275
Panama,477608,7362,467598.0,2648.0,108291,1669,4232560.0,959672.0,4410424
Papua New Guinea,35090,545,33884.0,661.0,3820,59,249149.0,27124.0,9185619
Paraguay,463001,16469,445723.0,809.0,63810,2270,1946045.0,268199.0,7255974
Peru,2234970,201144,,,66480,5983,20273392.0,603037.0,33618839
Philippines,2832375,48501,2767585.0,16289.0,25372,434,24146328.0,216296.0,111635697
Poland,3520961,83055,3022771.0,415135.0,93176,2198,24289149.0,642772.0,37788148
Portugal,1144342,18430,1071544.0,54368.0,112690,1815,21165845.0,2084325.0,10154772
Qatar,243290,611,240666.0,2013.0,86648,218,2987747.0,1064086.0,2807805
Réunion,59048,381,56040.0,2627.0,65296,421,1347378.0,1489938.0,904318
Romania,1778045,56382,1683204.0,38459.0,93303,2959,15990674.0,839113.0,19056639
Russia,9604233,273964,8295811.0,1034458.0,65772,1876,224500000.0,1537432.0,146022711
Rwanda,100344,1342,45521.0,53481.0,7486,100,3471879.0,259020.0,13403894
S. Korea,447230,3624,396070.0,47536.0,8713,71,15804065.0,307883.0,51331409
Saint Kitts and Nevis,2782,28,2732.0,22.0,51778,521,56538.0,1052281.0,53729
